
         10692900 function calls (9261265 primitive calls) in 55.373 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1103    0.017    0.000    0.017    0.000 _methods.py:108(_clip_dep_invoke_with_casting)
     1103    0.006    0.000    0.059    0.000 _methods.py:127(_clip)
     3072    0.016    0.000    0.047    0.000 _methods.py:164(_mean)
     1592    0.002    0.000    0.024    0.000 _methods.py:39(_amax)
     3373    0.003    0.000    0.045    0.000 _methods.py:47(_sum)
     1318    0.001    0.000    0.008    0.000 _methods.py:51(_prod)
     1526    0.001    0.000    0.006    0.000 _methods.py:55(_any)
      976    0.001    0.000    0.004    0.000 _methods.py:61(_all)
     3072    0.010    0.000    0.011    0.000 _methods.py:67(_count_reduce_items)
     2206    0.017    0.000    0.032    0.000 _methods.py:93(_clip_dep_is_scalar_nan)
        1    0.000    0.000    0.000    0.000 _misc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _misc.py:553(_Options)
        1    0.000    0.000    0.000    0.000 _misc.py:566(__init__)
        1    0.000    0.000    0.001    0.001 _mixins.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _mixins.py:77(ravel_compat)
        1    0.000    0.000    0.000    0.000 _mixins.py:97(NDArrayBackedExtensionArray)
        1    0.000    0.000    0.000    0.000 _normalize.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _odfreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _odfreader.py:28(ODFReader)
        1    0.000    0.000    0.001    0.001 _odswriter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _odswriter.py:30(ODSWriter)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:39(OpenpyxlWriter)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:532(OpenpyxlReader)
        1    0.000    0.000    0.000    0.000 _ops.py:239(__init__)
     5057    0.008    0.000    0.075    0.000 _ops.py:286(__call__)
        1    0.000    0.000    0.000    0.000 _ops.py:419(__init__)
        1    0.000    0.000    0.000    0.000 _ops.py:447(__getattr__)
     5607    0.009    0.000    0.360    0.000 _ops.py:497(__call__)
        1    0.000    0.000    0.000    0.000 _ops.py:553(__getattr__)
        1    0.000    0.000    0.002    0.002 _optional.py:1(<module>)
        2    0.000    0.000    0.002    0.001 _optional.py:91(import_optional_dependency)
